NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000001047870000900002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @PC200-7 7834-41-2002 MOTOR DE PASSO - PARTES E PECAS PARA TRATORES                                                                                                                                                                                        @           25,00000@          118,71000@           2165,63@            142,26@              0,00@           87,3100000@       15,00000@         1309,6500000@N/INFORMADO                   @PORTO DE SANTOS               @EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000001703250002000004@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 146095990601 230900268                                                                                                        @         1110,00000@          155,95850@            853,27@             64,78@              4,57@            0,7396260@       30,00000@           22,1887800@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001703250002000001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 146095989701 230900267                                             @         1110,00000@          155,95850@            853,27@             64,78@              4,57@            0,7396260@       60,00000@           44,3775600@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001703250002000002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 1 460 95 9906 01 230900268                                                                                                    @         1110,00000@          155,95850@            853,27@             64,78@              4,57@            0,7618379@      340,00000@          259,0248860@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001703250002000003@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 1 460 95 9908 01 230900267                                         @         1110,00000@          155,95850@            853,27@             64,78@              4,57@            0,7618379@      680,00000@          518,0497720@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001697470002200001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**C/ CABOS E CONECTORES, (28BYJ48*200*XH-5), 14W, 12 VOLTS, 50/60HZ, 1.8GRAUS 146095991001 3170020001                                                                                            @          170,00000@           14,11000@            227,59@              5,69@              1,21@            1,3313200@      170,00000@          226,3244000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001040290000100001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PEÇA                @A2C52095997 MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, DE POTÊNCIA INFERIOR A 37,5W (0 ,134W) E PASSO INFERIOR A 1,8 GRAUS (0,056GRAUS), MODELO MW2000                                                                                                          @         9576,00000@          106,00000@           8256,55@           1199,44@              1,42@            0,8622135@     9576,00000@         8256,5564760@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000600930001300004@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @AX060342 - MOTOR PASSO INFERIOR A 1,8 POLIGONAL - 1302/DSM415/DSM415PF - SP-3514-18                                                                                                                                                                       @            8,00000@            1,00000@            516,70@              7,83@              0,00@           73,3100000@        1,00000@           73,3100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300005@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @D1271151 - MOTOR PASSO INFERIOR A 1,8 PRINCIPAL MP301 - SP-3429-17                                                                                                                                                                                        @            8,00000@            1,00000@            516,70@              7,83@              0,00@           56,8800000@        1,00000@           56,8800000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300006@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @D1271151 - MOTOR PASSO INFERIOR A 1,8 PRINCIPAL MP301 - SP-3429-17                                                                                                                                                                                        @            8,00000@            1,00000@            516,70@              7,83@              0,00@           56,8800000@        1,00000@           56,8800000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300007@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @D1271151 - MOTOR PASSO INFERIOR A 1,8 PRINCIPAL MP301 - SP-3429-17                                                                                                                                                                                        @            8,00000@            1,00000@            516,70@              7,83@              0,00@           54,8500000@        2,00000@          109,7000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @AX060342 - MOTOR PASSO INFERIOR A 1,8 POLIGONAL - 1302/DSM415/DSM415PF - SP-3427-17                                                                                                                                                                       @            8,00000@            1,00000@            516,70@              7,83@              0,00@           73,3100000@        1,00000@           73,3100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @AX060342 - MOTOR PASSO INFERIOR A 1,8 POLIGONAL - 1302/DSM415/DSM415PF - SP-3427-17                                                                                                                                                                       @            8,00000@            1,00000@            516,70@              7,83@              0,00@           73,3100000@        1,00000@           73,3100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000600930001300003@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @AX060342 - MOTOR PASSO INFERIOR A 1,8 POLIGONAL - 1302/DSM415/DSM415PF - SP-3514-18                                                                                                                                                                       @            8,00000@            1,00000@            516,70@              7,83@              0,00@           73,3100000@        1,00000@           73,3100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
0000000597220000700001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@361@INDIA               @361@INDIA               @11@UNIDADE             @UNIDADE             @Motor de passo 7.5o - potencia 2.5W do carrossel de filtros para Analisador Bioquimico PRIETEST TOUCH, Cod. SM25BY48H01                                                                                                                                   @            1,00000@            0,10000@             15,11@              1,14@              0,07@           15,1111110@        1,00000@           15,1111110@N/INFORMADO                   @ALF - BELO HORIZONTE          @EXW@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000601940000300001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@023@ALEMANHA            @023@ALEMANHA            @11@UNIDADE             @PECA                @P/N: 06266894001 - MODULE MOTOR FOR ROTARY GRIPPER - MOTOR DE CORRENTE CONTINUA DE PASSO 1,8 GRAUS E POTENCIA ABAIXO DE 37 W PARA GERAR MOVIMENTO NO EQUIPAMENTO                                                                                          @            2,00000@            0,96000@            732,45@             15,07@              0,00@          373,7600000@        2,00000@          747,5200000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001149660001800004@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 146095989701 TCD-60ZCRA/U2I 230900267                              @         2700,00000@          379,23300@           2067,82@            150,63@             11,21@            0,7618100@     1620,00000@         1234,1322000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001149660001800001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 146095989601 TCD-60ZHRA/U2I 230900268                                                                                         @         2700,00000@          379,23300@           2067,82@            150,63@             11,21@            0,7618100@       90,00000@           68,5629000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001149660001800002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**(DEFLETOR VERTICAL), C/ CONECTOTORES, 14W,12V, 50/60HZ, 1.8GRAUS 146095989601 TCD-60ZCRA/U2I 230900268                                                                                         @         2700,00000@          379,23300@           2067,82@            150,63@             11,21@            0,7618100@      810,00000@          617,0661000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001149660001800003@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECA                @MOTOR ELETRICO, DE CORRENTE CONTINUA, DE PASSO. **SUFRAMA**CONJ. MOTOR DE PASSO (DEFLETOR HORIZ. 2 MOTOR C/ ADAP. PLASTICO NO EIXO + CABO), MOTOR DE PASSO, 14W,12V, 50/60HZ, 1.8GRAUS 146095989701 TCD-60ZHRA/U2I 230900267                              @         2700,00000@          379,23300@           2067,82@            150,63@             11,21@            0,7618100@      180,00000@          137,1258000@N/INFORMADO                   @PORTO DE MANAUS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001145520003900001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@161@FORMOSA (TAIWAN)    @249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @XC8298051 - MOTOR DE PASSO XY DE CORRENTE CONTINUA, POTENCIA 12W, IGUAL a 1,8, PARA MAQUINA DE COSTURA E BORDADO, MODELO: NV4000D                                                                                                                         @            4,00000@            0,60060@             11,73@              0,60@              0,00@            2,8100000@        4,00000@           11,2400000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000001145520003800001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @XD0432151 - MOTOR DE PASSO COM CORRENE CONTINUA E POTENCIA DE 12W, IGUAL a 1,8, UTILIADO EM MAQUINA DE BORDADO, MODELO: PE700                                                                                                                             @            1,00000@            0,15015@              1,68@              0,15@              0,00@            1,6200000@        1,00000@            1,6200000@N/INFORMADO                   @PORTO DE SANTOS               @FOB@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000001144170000500001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@072@AUSTRIA             @072@AUSTRIA             @11@UNIDADE             @UNIDADE             @80MPH4.300S014-01 - MOTOR DE PASSO PARA AUTOMACAO DE MAQUINA INDUSTRIAIS, 2 FASES, PASSO 1.8, FLANGE 87.1MM, COMPRIMENTO 119MM, ENCODER ABR 24VDC, CORRENTE NOMINAL 6A SERIE, TORQUE NOMINAL 2.9NM, SERIAL NUMBER: AB7F0169372, AB7F0169373, AB7F0169374, @           40,00000@          122,00000@           3968,38@            769,99@              0,00@          115,3792018@       36,00000@         4153,6512648@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,
0000001144170000500002@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@072@AUSTRIA             @072@AUSTRIA             @11@UNIDADE             @UNIDADE             @80MPH4.300S014-01 - MOTOR DE PASSO PARA AUTOMACAO DE MAQUINA INDUSTRIAIS, 2 FASES, PASSO 1.8, FLANGE 87.1MM, COMPRIMENTO 119MM, ENCODER ABR 24VDC, CORRENTE NOMINAL 6A SERIE, TORQUE NOMINAL 2.9NM , SERIAL NUMBER: AB7F0169444, AB7F0169446, AB7F0169447 @           40,00000@          122,00000@           3968,38@            769,99@              0,00@          115,3792018@        3,00000@          346,1376054@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,
0000001144170000500003@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@072@AUSTRIA             @072@AUSTRIA             @11@UNIDADE             @UNIDADE             @80MPH6.300D114-01 - MOTOR DE PASSO PARA AUTOMAAAO DE MA QUINA INDUSTRIAIS, 2 FASES, PASSO 1.8A, FLANGE 87.1MM, COMPRIMENTO 119MM, ENCODER ABR 24VDC, CORRENTE NOMINAL 6A SERIE, TORQUE NOMINAL 2.9NM, SERIAL NUMBER: B1720168801                          @           40,00000@          122,00000@           3968,38@            769,99@              0,00@          238,5960009@        1,00000@          238,5960009@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,
0000001144170000600001@201802@85011011@MOTOR ELÉTR.CORR.C/P<=37.5W,PA@791@TCHECA, REPUBLICA   @072@AUSTRIA             @11@UNIDADE             @UNIDADE             @80MPH1.300S000-01 - MOTOR DE PASSO PARA AUTOMACAO DE MAQUINA INDUSTRIAIS, 2 FASES, PASSO 1.8, FLANGE 87.1MM, COMPRIMENTO 66MM, ENCODER ABR 24VDC, CORRENTE NOMINAL 3A SERIE OU 6A PARALELO, TORQUE NOMINAL 2.9NM, SERIAL NUMBER: A7940009670, A7940009675,@            4,00000@            7,20000@            210,56@             45,44@              0,00@           64,0019560@        4,00000@          256,0078240@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@DAP@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,
